Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,309.0,Union Square - Lower East Side,2012-2014,01/02/2012,36.2
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,106.0,High Bridge - Morrisania,2012-2014,01/02/2012,117.4
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,106.0,High Bridge - Morrisania,2015-2017,01/01/2015,98.1
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,209.0,Bensonhurst - Bay Ridge,2017-2019,01/01/2017,8.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,106.0,High Bridge - Morrisania,2017-2019,01/01/2017,78.0
Nitrogen dioxide (NO2),Mean,ppb,UHF42,302.0,Central Harlem - Morningside Heights,Summer 2017,06/01/2017,18.9
Ozone (O3),Mean,ppb,UHF42,202.0,Downtown - Heights - Slope,Summer 2020,06/01/2020,28.8
Ozone (O3),Mean,ppb,UHF42,202.0,Downtown - Heights - Slope,2-Year Summer Average 2009-2010,06/01/2009,26.1
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,302.0,Central Harlem - Morningside Heights,2005-2007,01/01/2005,30.6
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,202.0,Downtown - Heights - Slope,2005-2007,01/01/2005,20.7
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,102.0,Northeast Bronx,2017-2019,01/01/2017,10.0
Ozone (O3),Mean,ppb,UHF42,102.0,Northeast Bronx,2-Year Summer Average 2009-2010,06/01/2009,28.6
Ozone (O3),Mean,ppb,UHF42,102.0,Northeast Bronx,Summer 2017,06/01/2017,29.0
Ozone (O3),Mean,ppb,UHF42,102.0,Northeast Bronx,Summer 2020,06/01/2020,30.9
Ozone (O3),Mean,ppb,UHF42,102.0,Northeast Bronx,Summer 2018,06/01/2018,31.2
Ozone (O3),Mean,ppb,UHF42,202.0,Downtown - Heights - Slope,Summer 2017,06/01/2017,27.9
Ozone (O3),Mean,ppb,UHF42,202.0,Downtown - Heights - Slope,Summer 2018,06/01/2018,28.5
Nitrogen dioxide (NO2),Mean,ppb,UHF42,202.0,Downtown - Heights - Slope,Winter 2016-17,12/01/2016,26.3
Nitrogen dioxide (NO2),Mean,ppb,UHF42,202.0,Downtown - Heights - Slope,Summer 2018,06/01/2018,16.4
Nitrogen dioxide (NO2),Mean,ppb,UHF42,102.0,Northeast Bronx,Annual Average 2014,12/01/2013,19.0
Nitrogen dioxide (NO2),Mean,ppb,UHF42,102.0,Northeast Bronx,Winter 2016-17,12/01/2016,26.4
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,306.0,Chelsea - Clinton,2012-2014,01/02/2012,28.5
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,302.0,Central Harlem - Morningside Heights,2015-2017,01/01/2015,95.1
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,202.0,Downtown - Heights - Slope,2009-2011,01/01/2009,6.6
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,302.0,Central Harlem - Morningside Heights,2009-2011,01/01/2009,10.3
Nitrogen dioxide (NO2),Mean,ppb,CD,105.0,Midtown (CD5),Summer 2019,06/01/2019,27.2
Nitrogen dioxide (NO2),Mean,ppb,CD,105.0,Midtown (CD5),Winter 2019-20,12/01/2019,36.2
Nitrogen dioxide (NO2),Mean,ppb,CD,205.0,Fordham and University Heights (CD5),Winter 2012-13,12/01/2012,28.4
Nitrogen dioxide (NO2),Mean,ppb,CD,205.0,Fordham and University Heights (CD5),Annual Average 2010,12/01/2009,26.5
Nitrogen dioxide (NO2),Mean,ppb,CD,316.0,Brownsville (CD16),Winter 2019-20,12/01/2019,26.9
Nitrogen dioxide (NO2),Mean,ppb,CD,305.0,East New York and Starrett City (CD5),Summer 2015,06/01/2015,13.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306.0,Chelsea - Clinton,Winter 2011-12,12/01/2011,12.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306.0,Chelsea - Clinton,Summer 2017,06/01/2017,11.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306.0,Chelsea - Clinton,Summer 2020,06/01/2020,8.7
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406.0,Fresh Meadows,Summer 2018,06/01/2018,8.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202.0,Downtown - Heights - Slope,Summer 2018,06/01/2018,8.9
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,104.0,Pelham - Throgs Neck,2009-2011,01/01/2009,121.9
Fine particles (PM 2.5),Mean,mcg/m3,CD,407.0,Flushing and Whitestone (CD7),Summer 2017,06/01/2017,8.9
Fine particles (PM 2.5),Mean,mcg/m3,CD,407.0,Flushing and Whitestone (CD7),Winter 2016-17,12/01/2016,8.0
Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Winter 2009-10,12/01/2009,10.7
Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Winter 2011-12,12/01/2011,10.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2018,06/01/2018,8.4
Fine particles (PM 2.5),Mean,mcg/m3,Borough,5.0,Staten Island,Winter 2016-17,12/01/2016,7.1
Fine particles (PM 2.5),Mean,mcg/m3,Borough,5.0,Staten Island,Winter 2011-12,12/01/2011,8.4
Fine particles (PM 2.5),Mean,mcg/m3,Borough,5.0,Staten Island,Summer 2018,06/01/2018,7.5
Nitrogen dioxide (NO2),Mean,ppb,UHF34,205.0,Sunset Park,Winter 2015-16,12/01/2015,23.7
Ozone (O3),Mean,ppb,UHF34,409.0,Southeast Queens,Summer 2011,06/01/2011,33.6
Ozone (O3),Mean,ppb,UHF34,409.0,Southeast Queens,Summer 2016,06/01/2016,34.3
Ozone (O3),Mean,ppb,UHF34,205.0,Sunset Park,Summer 2010,06/01/2010,32.7
Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Winter 2018-19,12/01/2018,18.0
Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Annual Average 2020,01/01/2020,13.0
Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Annual Average 2011,12/01/2010,19.3
Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Annual Average 2015,01/01/2015,17.2
Nitrogen dioxide (NO2),Mean,ppb,UHF34,205.0,Sunset Park,Summer 2009,06/01/2009,22.3
Nitrogen dioxide (NO2),Mean,ppb,UHF34,205.0,Sunset Park,Annual Average 2011,12/01/2010,23.9
Nitrogen dioxide (NO2),Mean,ppb,UHF34,205.0,Sunset Park,Annual Average 2009,12/01/2008,25.3
Nitrogen dioxide (NO2),Mean,ppb,UHF34,205.0,Sunset Park,Summer 2014,06/01/2014,15.2
Nitrogen dioxide (NO2),Mean,ppb,UHF34,205.0,Sunset Park,Annual Average 2015,01/01/2015,19.7
Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Winter 2012-13,12/01/2012,20.5
Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Summer 2015,06/01/2015,12.0
Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Winter 2015-16,12/01/2015,22.0
Nitrogen dioxide (NO2),Mean,ppb,Borough,5.0,Staten Island,Annual Average 2012,12/01/2011,14.5
Nitrogen dioxide (NO2),Mean,ppb,Borough,5.0,Staten Island,Summer 2022,06/01/2022,7.8
Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Summer 2022,06/01/2022,12.0
Nitrogen dioxide (NO2),Mean,ppb,Borough,5.0,Staten Island,Winter 2013-14,12/01/2013,21.8
Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2019,01/01/2019,19.7
Nitrogen dioxide (NO2),Mean,ppb,Borough,5.0,Staten Island,Annual Average 2022,01/01/2022,11.2
Nitrogen dioxide (NO2),Mean,ppb,UHF42,204.0,East New York,Winter 2021-22,12/01/2021,21.3
Nitrogen dioxide (NO2),Mean,ppb,UHF42,204.0,East New York,Annual Average 2016,12/31/2015,18.3
Nitrogen dioxide (NO2),Mean,ppb,Borough,5.0,Staten Island,Summer 2012,06/01/2012,10.6
Nitrogen dioxide (NO2),Mean,ppb,Borough,5.0,Staten Island,Summer 2021,06/01/2021,7.7
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,303.0,East Harlem,2017-2019,01/01/2017,90.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,103.0,Fordham - Bronx Pk,2005-2007,01/01/2005,108.2
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,303.0,East Harlem,2009-2011,01/01/2009,147.1
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,103.0,Fordham - Bronx Pk,2009-2011,01/01/2009,68.7
Ozone (O3),Mean,ppb,UHF42,205.0,Sunset Park,Summer 2018,06/01/2018,29.5
Ozone (O3),Mean,ppb,UHF42,205.0,Sunset Park,Summer 2020,06/01/2020,28.9
Ozone (O3),Mean,ppb,UHF42,403.0,Flushing - Clearview,2-Year Summer Average 2009-2010,06/01/2009,28.6
Ozone (O3),Mean,ppb,UHF42,405.0,Ridgewood - Forest Hills,2-Year Summer Average 2009-2010,06/01/2009,27.9
Nitrogen dioxide (NO2),Mean,ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),Summer 2019,06/01/2019,15.1
Nitrogen dioxide (NO2),Mean,ppb,CD,208.0,Riverdale and Fieldston (CD8),Winter 2012-13,12/01/2012,23.1
Nitrogen dioxide (NO2),Mean,ppb,CD,208.0,Riverdale and Fieldston (CD8),Annual Average 2010,12/01/2009,20.2
Nitrogen dioxide (NO2),Mean,ppb,CD,406.0,Rego Park and Forest Hills (CD6),Summer 2015,06/01/2015,15.2
Ozone (O3),Mean,ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,Summer 2018,06/01/2018,30.2
Ozone (O3),Mean,ppb,UHF42,205.0,Sunset Park,2-Year Summer Average 2009-2010,06/01/2009,27.7
Ozone (O3),Mean,ppb,UHF42,205.0,Sunset Park,Summer 2017,06/01/2017,29.3
Ozone (O3),Mean,ppb,UHF42,305.0,Upper East Side,2-Year Summer Average 2009-2010,06/01/2009,23.0
Ozone (O3),Mean,ppb,UHF42,305.0,Upper East Side,Summer 2017,06/01/2017,25.2
Nitrogen dioxide (NO2),Mean,ppb,UHF42,103.0,Fordham - Bronx Pk,Annual Average 2014,12/01/2013,19.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305.0,Upper East Side,Summer 2020,06/01/2020,7.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305.0,Upper East Side,Summer 2018,06/01/2018,10.0
Fine particles (PM 2.5),Mean,mcg/m3,CD,308.0,Crown Heights and Prospect Heights (CD8),Annual Average 2010,12/01/2009,10.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,303.0,East Harlem,Summer 2020,06/01/2020,7.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,105.0,Crotona -Tremont,Winter 2009-10,12/01/2009,12.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,105.0,Crotona -Tremont,Winter 2011-12,12/01/2011,11.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,105.0,Crotona -Tremont,Winter 2016-17,12/01/2016,8.6
Fine particles (PM 2.5),Mean,mcg/m3,CD,306.0,Park Slope and Carroll Gardens (CD6),Winter 2014-15,12/01/2014,10.0
Fine particles (PM 2.5),Mean,mcg/m3,CD,306.0,Park Slope and Carroll Gardens (CD6),Annual Average 2013,12/01/2012,9.4
Fine particles (PM 2.5),Mean,mcg/m3,CD,306.0,Park Slope and Carroll Gardens (CD6),Annual Average 2017,01/01/2017,8.4
Fine particles (PM 2.5),Mean,mcg/m3,CD,308.0,Crown Heights and Prospect Heights (CD8),Summer 2018,06/01/2018,8.5
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305.0,Upper East Side,Winter 2011-12,12/01/2011,11.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305.0,Upper East Side,Summer 2017,06/01/2017,10.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,303.0,East Harlem,Winter 2011-12,12/01/2011,10.2
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,309.0,Union Square - Lower East Side,2009-2011,01/01/2009,5.6
Ozone (O3),Mean,ppb,UHF42,106.0,High Bridge - Morrisania,2-Year Summer Average 2009-2010,06/01/2009,26.3
Ozone (O3),Mean,ppb,UHF42,210.0,Coney Island - Sheepshead Bay,Summer 2018,06/01/2018,32.5
Ozone (O3),Mean,ppb,UHF42,409.0,Southeast Queens,2-Year Summer Average 2009-2010,06/01/2009,28.7
Ozone (O3),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2020,06/01/2020,29.8
Ozone (O3),Mean,ppb,UHF42,210.0,Coney Island - Sheepshead Bay,2-Year Summer Average 2009-2010,06/01/2009,28.4
Ozone (O3),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2020,06/01/2020,30.0
Ozone (O3),Mean,ppb,UHF42,410.0,Rockaways,Summer 2020,06/01/2020,31.5
Nitrogen dioxide (NO2),Mean,ppb,CD,101.0,Financial District (CD1),Winter 2012-13,12/01/2012,33.1
Nitrogen dioxide (NO2),Mean,ppb,CD,401.0,Long Island City and Astoria (CD1),Winter 2012-13,12/01/2012,26.0
Nitrogen dioxide (NO2),Mean,ppb,CD,401.0,Long Island City and Astoria (CD1),Annual Average 2010,12/01/2009,23.5
Nitrogen dioxide (NO2),Mean,ppb,CD,301.0,Greenpoint and Williamsburg (CD1),Winter 2012-13,12/01/2012,27.6
Nitrogen dioxide (NO2),Mean,ppb,CD,302.0,Fort Greene and Brooklyn Heights (CD2),Summer 2015,06/01/2015,18.0
Nitrogen dioxide (NO2),Mean,ppb,CD,302.0,Fort Greene and Brooklyn Heights (CD2),Summer 2019,06/01/2019,18.0
Nitrogen dioxide (NO2),Mean,ppb,CD,102.0,Greenwich Village and Soho (CD2),Winter 2019-20,12/01/2019,31.5
Nitrogen dioxide (NO2),Mean,ppb,Borough,3.0,Manhattan,Winter 2016-17,12/01/2016,29.7
Nitrogen dioxide (NO2),Mean,ppb,UHF42,309.0,Union Square - Lower East Side,Summer 2018,06/01/2018,19.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310.0,Lower Manhattan,Summer 2018,06/01/2018,10.1
Fine particles (PM 2.5),Mean,mcg/m3,CD,301.0,Greenpoint and Williamsburg (CD1),Annual Average 2017,01/01/2017,9.1
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,106.0,High Bridge - Morrisania,Winter 2016-17,12/01/2016,8.6
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2014,12/01/2013,8.6
Fine particles (PM 2.5),Mean,mcg/m3,CD,501.0,St. George and Stapleton (CD1),Annual Average 2013,12/01/2012,8.1
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310.0,Lower Manhattan,Summer 2022,06/01/2022,7.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,106.0,High Bridge - Morrisania,Summer 2019,06/01/2019,8.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,106.0,High Bridge - Morrisania,Annual Average 2018,01/01/2018,7.7
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,106.0,High Bridge - Morrisania,Summer 2021,06/01/2021,8.6
Fine particles (PM 2.5),Mean,mcg/m3,CD,202.0,Hunts Point and Longwood (CD2),Winter 2011-12,12/01/2011,10.9
Fine particles (PM 2.5),Mean,mcg/m3,CD,202.0,Hunts Point and Longwood (CD2),Winter 2016-17,12/01/2016,9.0
Fine particles (PM 2.5),Mean,mcg/m3,CD,501.0,St. George and Stapleton (CD1),Winter 2016-17,12/01/2016,7.2
Fine particles (PM 2.5),Mean,mcg/m3,CD,501.0,St. George and Stapleton (CD1),Summer 2017,06/01/2017,8.4
Fine particles (PM 2.5),Mean,mcg/m3,CD,102.0,Greenwich Village and Soho (CD2),Summer 2018,06/01/2018,10.0
Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Summer 2019,06/01/2019,8.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,207.0,East Flatbush - Flatbush,Summer 2015,06/01/2015,9.3
Ozone (O3),Mean,ppb,CD,304.0,Bushwick (CD4),Summer 2010,06/01/2010,33.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,1.0,Bronx,2015-2017,01/01/2015,67.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,2.0,Brooklyn,2012-2014,01/02/2012,44.2
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,1.0,Bronx,2009-2011,01/01/2009,67.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,207.0,East Flatbush - Flatbush,2005-2007,01/01/2005,56.7
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,107.0,Hunts Point - Mott Haven,2005-2007,01/01/2005,189.1
Fine particles (PM 2.5),Mean,mcg/m3,CD,404.0,Elmhurst and Corona (CD4),Summer 2009,06/01/2009,10.8
Fine particles (PM 2.5),Mean,mcg/m3,CD,404.0,Elmhurst and Corona (CD4),Winter 2010-11,12/01/2010,12.7
Fine particles (PM 2.5),Mean,mcg/m3,CD,404.0,Elmhurst and Corona (CD4),Summer 2011,06/01/2011,11.6
Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Summer 2015,06/01/2015,9.6
Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Winter 2019-20,12/01/2019,8.1
Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Summer 2019,06/01/2019,8.6
Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Annual Average 2010,12/01/2009,11.2
Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Summer 2016,06/01/2016,8.9
Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Winter 2015-16,12/01/2015,8.8
Fine particles (PM 2.5),Mean,mcg/m3,CD,317.0,East Flatbush (CD17),Winter 2015-16,12/01/2015,8.5
Fine particles (PM 2.5),Mean,mcg/m3,CD,103.0,Lower East Side and Chinatown (CD3),Summer 2010,06/01/2010,12.9
Fine particles (PM 2.5),Mean,mcg/m3,CD,103.0,Lower East Side and Chinatown (CD3),Summer 2011,06/01/2011,12.4
Fine particles (PM 2.5),Mean,mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),Summer 2010,06/01/2010,12.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,308.0,Greenwich Village - SoHo,2017-2019,01/01/2017,0.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough,1.0,Bronx,2005-2007,01/01/2005,13.4
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough,2.0,Brooklyn,2005-2007,01/01/2005,8.0
Ozone (O3),Mean,ppb,CD,317.0,East Flatbush (CD17),Summer 2016,06/01/2016,33.9
Ozone (O3),Mean,ppb,CD,204.0,Highbridge and Concourse (CD4),Summer 2010,06/01/2010,31.0
Ozone (O3),Mean,ppb,CD,204.0,Highbridge and Concourse (CD4),Summer 2011,06/01/2011,30.8
Nitrogen dioxide (NO2),Mean,ppb,CD,103.0,Lower East Side and Chinatown (CD3),Winter 2020-21,12/01/2020,23.9
Nitrogen dioxide (NO2),Mean,ppb,CD,317.0,East Flatbush (CD17),Winter 2015-16,12/01/2015,23.9
Nitrogen dioxide (NO2),Mean,ppb,CD,317.0,East Flatbush (CD17),Winter 2020-21,12/01/2020,22.9
Nitrogen dioxide (NO2),Mean,ppb,CD,303.0,Bedford Stuyvesant (CD3),Summer 2011,06/01/2011,21.4
Nitrogen dioxide (NO2),Mean,ppb,CD,303.0,Bedford Stuyvesant (CD3),Summer 2010,06/01/2010,21.5
Ozone (O3),Mean,ppb,CD,304.0,Bushwick (CD4),Summer 2013,06/01/2013,30.4
Ozone (O3),Mean,ppb,CD,303.0,Bedford Stuyvesant (CD3),Summer 2021,06/01/2021,29.6
Nitrogen dioxide (NO2),Mean,ppb,CD,317.0,East Flatbush (CD17),Winter 2014-15,12/01/2014,25.8
Nitrogen dioxide (NO2),Mean,ppb,CD,403.0,Jackson Heights (CD3),Annual Average 2009,12/01/2008,25.6
Nitrogen dioxide (NO2),Mean,ppb,CD,403.0,Jackson Heights (CD3),Summer 2014,06/01/2014,16.6
Nitrogen dioxide (NO2),Mean,ppb,UHF42,207.0,East Flatbush - Flatbush,Winter 2019-20,12/01/2019,26.1
Nitrogen dioxide (NO2),Mean,ppb,UHF42,207.0,East Flatbush - Flatbush,Summer 2015,06/01/2015,14.5
Nitrogen dioxide (NO2),Mean,ppb,UHF42,107.0,Hunts Point - Mott Haven,Winter 2012-13,12/01/2012,26.1
Nitrogen dioxide (NO2),Mean,ppb,UHF42,107.0,Hunts Point - Mott Haven,Annual Average 2010,12/01/2009,24.1
Ozone (O3),Mean,ppb,UHF42,207.0,East Flatbush - Flatbush,Summer 2015,06/01/2015,32.2
Ozone (O3),Mean,ppb,Borough,1.0,Bronx,Summer 2015,06/01/2015,30.4
Ozone (O3),Mean,ppb,Borough,1.0,Bronx,Summer 2019,06/01/2019,29.9
Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Annual Average 2011,12/01/2010,19.2
Nitrogen dioxide (NO2),Mean,ppb,Borough,1.0,Bronx,Summer 2015,06/01/2015,16.0
Nitrogen dioxide (NO2),Mean,ppb,Borough,1.0,Bronx,Winter 2019-20,12/01/2019,23.0
Nitrogen dioxide (NO2),Mean,ppb,Borough,2.0,Brooklyn,Annual Average 2010,12/01/2009,22.7
Nitrogen dioxide (NO2),Mean,ppb,Borough,1.0,Bronx,Winter 2012-13,12/01/2012,24.0
Nitrogen dioxide (NO2),Mean,ppb,Borough,2.0,Brooklyn,Winter 2012-13,12/01/2012,25.3
Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Summer 2019,06/01/2019,22.6
Nitrogen dioxide (NO2),Mean,ppb,Borough,1.0,Bronx,Summer 2016,06/01/2016,14.9
Nitrogen dioxide (NO2),Mean,ppb,Borough,2.0,Brooklyn,Winter 2020-21,12/01/2020,22.7
Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Summer 2010,06/01/2010,29.6
Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Summer 2016,06/01/2016,22.2
Nitrogen dioxide (NO2),Mean,ppb,CD,404.0,Elmhurst and Corona (CD4),Annual Average 2009,12/01/2008,26.9
Nitrogen dioxide (NO2),Mean,ppb,CD,204.0,Highbridge and Concourse (CD4),Annual Average 2015,01/01/2015,22.4
Nitrogen dioxide (NO2),Mean,ppb,CD,403.0,Jackson Heights (CD3),Annual Average 2010,12/01/2009,24.0
Nitrogen dioxide (NO2),Mean,ppb,CD,103.0,Lower East Side and Chinatown (CD3),Winter 2012-13,12/01/2012,30.5
Nitrogen dioxide (NO2),Mean,ppb,CD,103.0,Lower East Side and Chinatown (CD3),Annual Average 2010,12/01/2009,29.2
Nitrogen dioxide (NO2),Mean,ppb,CD,303.0,Bedford Stuyvesant (CD3),Winter 2016-17,12/01/2016,26.5
Nitrogen dioxide (NO2),Mean,ppb,CD,403.0,Jackson Heights (CD3),Annual Average 2014,12/01/2013,21.7
Nitrogen dioxide (NO2),Mean,ppb,CD,404.0,Elmhurst and Corona (CD4),Winter 2016-17,12/01/2016,27.6
Nitrogen dioxide (NO2),Mean,ppb,CD,404.0,Elmhurst and Corona (CD4),Summer 2017,06/01/2017,16.7
Nitrogen dioxide (NO2),Mean,ppb,CD,404.0,Elmhurst and Corona (CD4),Summer 2018,06/01/2018,14.9
Nitrogen dioxide (NO2),Mean,ppb,CD,103.0,Lower East Side and Chinatown (CD3),Winter 2009-10,12/01/2009,31.4
Nitrogen dioxide (NO2),Mean,ppb,CD,310.0,Bay Ridge and Dyker Heights (CD10),Annual Average 2010,12/01/2009,22.4
Nitrogen dioxide (NO2),Mean,ppb,CD,312.0,Borough Park (CD12),Annual Average 2010,12/01/2009,23.8
Nitrogen dioxide (NO2),Mean,ppb,CD,312.0,Borough Park (CD12),Winter 2019-20,12/01/2019,25.9
Ozone (O3),Mean,ppb,UHF42,501.0,Port Richmond,2-Year Summer Average 2009-2010,06/01/2009,29.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501.0,Port Richmond,Annual Average 2014,12/01/2013,8.8
Fine particles (PM 2.5),Mean,mcg/m3,CD,310.0,Bay Ridge and Dyker Heights (CD10),Winter 2012-13,12/01/2012,10.1
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,Winter 2011-12,12/01/2011,10.5
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,Winter 2014-15,12/01/2014,10.9
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101.0,Kingsbridge - Riverdale,Annual Average 2017,01/01/2017,7.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,Annual Average 2017,01/01/2017,7.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,Annual Average 2021,01/01/2021,6.9
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,401.0,Long Island City - Astoria,Annual Average 2012,12/01/2011,9.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501.0,Port Richmond,Summer 2022,06/01/2022,6.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,Summer 2019,06/01/2019,9.9
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501.0,Port Richmond,Summer 2013,06/01/2013,9.6
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,401.0,Long Island City - Astoria,Summer 2021,06/01/2021,9.1
Fine particles (PM 2.5),Mean,mcg/m3,CD,112.0,Washington Heights and Inwood (CD12),Winter 2009-10,12/01/2009,12.2
Fine particles (PM 2.5),Mean,mcg/m3,CD,112.0,Washington Heights and Inwood (CD12),Winter 2011-12,12/01/2011,11.0
Fine particles (PM 2.5),Mean,mcg/m3,CD,112.0,Washington Heights and Inwood (CD12),Summer 2017,06/01/2017,9.9
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Winter 2011-12,12/01/2011,9.1
